Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39-Jaehrige,562496,574243,576404,594361,606305,626394,640291,650074,680313,701246,718953,731961,755526,758892,745135,735710,712202,693824,658754,609493,581073,504448,465095,463438,462223,482259,493796,499977,508867,536040,534940,543567
40-Jaehrige,571412,565566,579426,576145,594752,607191,625781,637942,647497,679374,699912,718261,730879,753684,756836,743595,733688,710935,690886,656581,609295,559335,507509,468173,467677,470864,482589,495718,501847,509370,535953,535213
41-Jaehrige,558125,574333,569788,579064,576274,595493,606637,622908,635315,646604,678342,699318,717079,729063,751567,754932,741508,731986,708225,688729,656427,581744,562426,510639,471883,475238,471244,484721,497409,502267,509422,536139
42-Jaehrige,519174,560338,578142,568886,579057,576478,594480,603935,620042,634135,645242,677160,698105,715061,726911,749747,752770,739597,728841,705821,688072,629955,584257,565145,514066,478608,475382,473070,486195,497583,502294,509647
43-Jaehrige,492573,520847,563185,576973,568557,579161,575351,591690,601188,618541,632907,644096,675938,695946,713162,725161,747781,750717,736251,726163,705166,661704,632277,586640,567973,520434,478790,477311,474698,486715,497188,502153
44-Jaehrige,436760,493284,522883,561643,576194,568650,577524,572417,588942,599544,616866,631785,642578,674027,693711,711492,722998,745694,747336,733391,725180,681421,663538,634234,589545,573664,520352,480406,478809,474999,486351,496878
45-Jaehrige,389311,437576,494569,521162,560586,575638,567213,574693,569918,587460,598050,615441,629865,640655,672122,691817,709297,720786,742263,744291,731959,703638,682713,665347,636515,594848,573121,521427,481345,478749,474732,485871
46-Jaehrige,522374,388697,438289,492505,519756,560030,573791,564467,571949,568357,585803,596413,613286,627610,638549,670043,689437,706926,717282,738914,742737,708958,704379,683925,667294,640979,594048,573950,522398,481428,478179,473754
47-Jaehrige,535617,521110,388908,436049,490702,518568,557956,570789,561841,570032,566548,583747,594351,610931,625182,636503,667725,686940,703370,713714,737008,722224,709241,704848,685436,671085,639442,594683,574308,521939,480581,477217
48-Jaehrige,523141,534728,520163,386900,433961,489151,516330,554893,567654,560007,568056,564535,581622,591778,608631,622901,633992,665263,683137,699654,711575,716915,722309,709382,705545,688363,669654,639853,594783,573372,521005,479512
49-Jaehrige,632570,521145,533466,517164,384543,432202,487015,513263,551782,565185,557750,565876,562098,578930,589251,606199,620101,631296,661424,679340,697302,692770,716393,722133,709406,707270,686478,669314,639383,593452,571781,519348
50-Jaehrige,670816,630278,519826,529975,513987,382535,429718,483758,510248,549321,562673,555406,563319,559278,575701,586570,603338,617202,627430,657540,676694,681686,691967,715616,721521,710458,704842,685715,668504,637745,591764,569621
51-Jaehrige,659947,667769,627949,516561,526291,510937,379835,426523,480634,507507,546575,560042,552731,560524,556413,572961,583626,600400,613173,623565,654642,658318,680451,690842,714491,721941,707768,703280,684228,666400,635810,589256
52-Jaehrige,618350,656885,664797,624115,513079,522791,507169,376770,423295,477755,504765,543760,557010,549758,557202,553385,569604,580343,596236,609034,620500,641076,656755,678840,689365,714227,718576,705583,701292,681623,663991,632901
53-Jaehrige,579811,614827,653486,660324,619791,509528,518737,502761,373735,420606,474831,501852,540643,553594,546250,554018,549938,566096,576007,591888,605750,605312,639144,654794,676981,688648,710558,715918,703108,698358,678619,660615
54-Jaehrige,567730,576149,611188,648605,655305,615443,505534,514242,498535,371060,417548,471949,498732,536968,549696,542729,550339,546335,561709,571611,588296,590934,603042,636781,652446,675553,684508,707493,713090,699645,694947,674763
55-Jaehrige,552333,563546,572363,606592,643436,650275,610410,501074,509614,494587,368066,414488,468627,495169,532892,545773,538887,546487,541797,557049,567678,572971,588349,600210,633996,650555,670968,681241,703977,709145,695588,690613
56-Jaehrige,518196,547449,559084,567743,601419,638055,644486,604821,496458,505133,490439,365114,411242,465088,491269,528725,541514,534729,541674,537122,553081,552415,569966,585174,597118,631174,646119,667103,677539,699652,704793,690594
57-Jaehrige,420452,513390,542464,553712,562497,596039,631948,637975,599037,492097,500619,485962,361877,407738,460886,487152,524413,537088,529881,536565,532758,537623,548968,566492,581600,594323,626157,642005,662644,672765,694707,699204
58-Jaehrige,418272,415783,507794,536759,547960,557072,590042,625200,631335,593435,487315,495769,481399,358310,403646,456725,482700,519950,531872,524646,531867,517896,533700,544901,562594,577953,589191,621641,637082,657265,667477,688851
59-Jaehrige,426315,413082,410744,501686,530518,541780,550866,583322,618206,624870,587175,482451,490618,476333,354546,399642,452112,477922,514517,526114,519662,516469,513489,529193,540425,558486,572312,584304,616432,631563,651559,661238
60-Jaehrige,448000,419957,407220,404635,494447,523280,534321,543512,575695,610630,617425,580226,476877,484919,470605,350375,394862,447098,472238,508248,520533,505374,511566,508704,524440,536080,552474,566996,578689,610222,625349,644532
61-Jaehrige,432872,440741,413486,400809,398150,486799,515088,526337,535729,567967,602737,609533,573157,470905,478675,464868,345715,390005,441313,466155,502297,504199,500160,506181,503398,519384,530011,546690,560949,572499,603536,618018
62-Jaehrige,427771,425450,433305,406464,394014,391288,478656,506637,517868,528123,560011,594612,601360,565585,464462,472283,458794,341101,384430,435203,460385,488439,498521,494624,500343,498035,513037,523842,540345,554257,565533,595750
63-Jaehrige,378806,419842,417820,425285,398757,386728,383711,469733,497798,509632,520124,551839,585856,592512,557465,457759,465461,452247,335787,378607,429163,446402,482106,492253,488275,494051,491105,506353,516948,533171,546840,557493
