Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50-Jaehrige,648310,609079,500055,512112,502058,375970,417798,472070,496575,538434,558025,552616,562138,558512,572345,575880,588945,600404,610172,641315,660821,672778,679132,698830,703668,690454,689115,672112,655193,626200,586081,566089
51-Jaehrige,640602,647828,609030,499497,510720,500776,375115,416519,470783,495684,537516,557343,551936,561268,557442,571229,574463,587690,598656,608499,639936,651174,672380,678865,698833,704276,689985,689020,671992,654560,625808,585498
52-Jaehrige,602029,640231,647568,608170,498548,509477,499278,373705,415126,469802,494678,536825,556395,550897,560054,556218,569755,573082,585719,596823,607133,634292,650605,671885,678727,699283,703375,689495,688474,671147,654060,624976
53-Jaehrige,566912,601329,639768,646861,606902,497428,507775,497291,372359,413959,468783,493705,535880,555181,549565,558562,554583,568263,571166,583856,595158,600035,633395,649900,671413,678752,698174,702531,688686,687250,670267,652838
54-Jaehrige,560447,566261,600761,638737,645381,605692,495863,505607,495258,371116,412754,467632,492561,534667,553576,548016,556644,552987,566203,569076,582045,588475,599063,632505,649207,671173,677406,696898,701381,687307,685877,668555
55-Jaehrige,548119,559460,565638,599958,637354,644010,603869,493953,503498,493398,369883,411549,466310,491104,533002,551808,546045,554806,550820,563944,567198,574344,587365,598011,631628,648841,669440,675841,695389,699687,685769,683906
56-Jaehrige,515508,546729,558376,564689,598647,635749,641841,601418,491800,501549,491414,368610,410103,464837,489296,531008,549645,544006,552396,548498,561824,560430,572893,585935,596851,630592,647001,667542,674050,693290,697779,683344
57-Jaehrige,422205,514639,545330,557100,563411,597096,633540,639116,598791,489893,499352,489392,367189,408462,462913,487288,528615,547284,541400,549820,546330,554749,558701,571272,584477,595821,628398,644986,665293,671623,690900,695210
58-Jaehrige,426082,420884,512928,543847,555379,561804,595097,630737,636268,596346,487762,497207,487056,365506,406492,460947,484907,526275,544471,538612,547492,539432,552881,556882,569613,582959,593393,625938,642613,662587,669166,687826
59-Jaehrige,439996,424558,419280,511014,541581,553511,559449,592436,627742,633588,593827,485616,494905,484588,363488,404389,458611,482486,523388,541542,536125,539263,537307,550822,554830,567936,580147,590915,623199,639728,659580,666011
60-Jaehrige,470528,437817,422679,417282,508260,538983,550663,556346,589166,624567,630345,591029,483093,492057,481619,361334,401890,456020,479413,520044,538473,528753,536691,534936,548380,552816,565179,577318,587953,619887,636586,655992
61-Jaehrige,462183,468100,435582,420394,414851,505265,535623,547270,553040,585949,621188,626891,587876,480366,488982,478453,358695,399253,452833,476138,516862,528754,526007,533996,532319,545713,549761,561979,574142,584626,616485,632757
62-Jaehrige,465892,459449,465425,433157,417669,412129,501781,531838,543642,549959,582443,617621,623230,584444,477269,485608,475121,356288,396174,449505,472852,510179,525646,523143,531306,529608,542480,546495,558648,570501,581134,612540
63-Jaehrige,450448,462721,456567,462441,430178,414743,408867,497704,527820,540109,546660,579000,613855,619266,580587,473999,482173,471819,353388,393103,446275,465029,506993,522229,519980,528204,526042,538981,542697,554786,566602,576804
64-Jaehrige,464734,447045,459399,453333,459011,427023,411282,405181,493449,523965,536187,543033,575094,609693,614928,576402,470500,478647,467936,350344,389985,438520,461711,503439,518863,516457,524361,522290,534749,538518,550769,562024
65-Jaehrige,477015,460680,443483,455689,449585,455156,423007,407353,401297,489284,519695,532131,539031,570838,605036,610205,571855,466711,474561,463951,347099,383150,435041,457923,499605,515108,512258,520296,517881,530406,534287,545892
66-Jaehrige,461451,472013,456122,439474,451385,445338,450483,418472,403058,397489,484696,515092,527628,534612,566078,600043,605161,567150,462540,470036,459736,339695,379811,431202,454034,495342,510567,507989,515496,513081,525482,529031
67-Jaehrige,457402,456374,466814,451334,434797,446631,440397,445415,413801,398882,393237,479935,510085,522682,529566,560888,594627,599730,561795,457964,465565,451702,336545,376186,427281,449827,490517,505726,503090,510373,508215,519841
68-Jaehrige,476524,451200,450698,461102,445966,429696,441118,434994,439843,408925,394408,388815,474575,504721,517304,524207,555338,588864,593661,556071,453304,457085,447193,333074,372468,423014,445053,485519,500441,497899,505233,502401
69-Jaehrige,500246,469040,444633,444308,454591,439864,423521,434929,429038,434184,403680,389513,383941,468745,498700,511433,518449,549297,582400,587086,550130,442821,452372,442260,329537,368271,418298,440013,479955,494746,492099,499109
70-Jaehrige,494047,491310,461159,437610,437225,447475,432964,416933,428337,422892,427908,398120,384259,378768,462534,492336,505139,512291,542602,575380,580197,539956,437776,447112,437094,325616,363537,413143,434360,473859,488644,485566
71-Jaehrige,365638,483680,481905,452388,429738,429573,439608,425367,409853,421521,416263,421296,391946,378260,373107,455813,485535,498467,505428,535445,568086,568121,533179,432185,441561,431418,321149,358370,407525,428232,467353,481432
72-Jaehrige,235742,358754,472997,471518,442987,421221,420905,430793,417112,402416,414020,409166,414103,385298,372047,367837,449712,478103,490932,497957,527980,558229,560362,525888,426336,435355,425271,316369,352989,401461,421940,459897
73-Jaehrige,223243,229912,350056,460993,460406,432754,411583,411717,421376,408487,394402,406093,401316,406211,378061,365382,361164,442136,469867,482874,490097,516031,549981,551988,518233,419698,428679,418242,310937,347111,394797,414472
74-Jaehrige,242031,216626,223701,340490,448505,448147,421373,401396,401709,411753,399479,385885,397236,392774,397933,371525,358099,354282,433621,461052,474170,478768,507450,540789,543130,509735,412587,421293,410848,305152,340822,387369
75-Jaehrige,314042,234264,209922,216847,330257,434935,434968,409399,390362,391377,401276,389718,376283,387547,383852,388886,363207,350407,346628,424591,451590,460002,469763,498126,531233,533183,500246,404830,413063,402663,298935,333384
76-Jaehrige,391496,302298,226134,202549,209553,318960,420463,421141,396572,378836,380166,390129,379040,366831,377341,374104,379151,354266,341760,338072,414516,438410,449952,459667,487891,520075,522375,490065,396284,404265,393829,291918
77-Jaehrige,382097,375682,290509,217324,194888,201803,307039,405073,406556,383291,366437,368192,378085,367386,356071,366239,364007,368807,344411,332456,328934,399917,427405,438833,449056,476392,508305,510363,478586,387280,394559,383592
78-Jaehrige,368705,364681,359204,277737,208091,186532,193219,294502,388611,391068,369274,353258,355283,364987,355335,344639,354525,352449,357176,333603,322104,316284,388458,415265,427041,436966,463957,495420,497105,466392,377093,383456
79-Jaehrige,331198,349442,346672,341694,264322,198347,177605,184438,281260,371508,374635,354168,339161,341045,351143,341907,332100,341935,339846,344416,321904,308721,305692,375694,402579,413613,423994,450310,480735,482790,452582,365204
80-Jaehrige,318024,311416,329686,327198,323196,249943,187863,168404,175022,267554,353212,356990,337719,323624,326323,335879,327219,318631,327993,326018,330865,306544,296941,294008,362291,387957,399061,409364,435137,464990,466513,436435
81-Jaehrige,297809,296699,291653,308880,307206,303754,234630,176936,158793,165207,253167,334438,337832,319809,307922,310439,319845,311904,303697,312767,311284,313686,293235,284116,281809,347107,372326,383119,393435,418901,447212,447776
82-Jaehrige,268489,274924,275121,270585,287334,286125,283184,219326,165601,148689,154981,237857,314256,317537,301745,290565,293559,302553,295043,287661,296543,293571,297883,278556,270703,268040,330744,355053,365701,376292,400691,426823
83-Jaehrige,238125,245235,252360,252813,249087,265428,264446,262190,203226,153985,138363,144429,221711,292384,297233,282313,272222,275622,283912,277077,270480,276851,276704,280616,263433,255410,253704,312984,336350,347235,357041,380009
84-Jaehrige,208134,215089,222350,229238,230469,227489,242765,242503,240785,186718,141816,127908,133271,204624,270975,275619,262186,253235,256463,264005,258162,249722,258276,258308,263352,246421,239595,238023,293850,316573,326727,335769
85-Jaehrige,172203,185421,192896,199337,205858,207839,205330,220283,220271,219046,169950,129454,116704,121557,187710,248089,253359,241380,233022,235886,243460,235984,230890,238692,240083,243846,228886,222399,221140,274083,294611,303944
86-Jaehrige,148695,151410,163937,171087,176570,183046,185181,184089,197322,197658,197389,153260,117090,105031,110192,169784,224649,230524,219073,211705,214878,220744,215518,210615,219037,219512,224013,210002,204193,203742,252173,270703
87-Jaehrige,121132,128803,131895,142765,149661,154580,160283,163611,162850,174721,175551,175704,136103,104138,93979,98478,152065,201116,206358,196023,189784,191118,198999,194259,190853,197552,199047,203270,190026,185378,184588,228547
88-Jaehrige,102279,103165,110427,112886,122911,129113,133366,138903,142433,141650,152728,153910,153781,118662,91809,82692,86939,134152,176788,181709,173335,167556,169416,176398,173592,169661,176474,177652,181385,170407,165385,164574
89-Jaehrige,80542,85544,87013,93176,95318,104083,109521,113690,118500,121629,121554,131869,132193,132192,102856,79371,71876,75416,115923,153123,157666,150028,146095,147532,154960,151599,149220,154897,155522,159831,149876,144891
90 Jahre und mehr,216665,231992,249885,264377,282233,298829,318231,340843,363072,387052,409175,427625,447939,462152,479664,465000,434720,404362,379853,395000,441352,465385,494874,514051,537794,554419,571799,578756,587350,599829,608422,605526
