Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53-Jaehrige,4874,4919,4817,5240,4627,4179,3720,3797,2922,2432,3083,2996,3254,3497,3452,3339,3280,3287,3315,3254,3335,3343,3226,3454,3407,3456,3376,3296,3321,3086,3088,3060
54-Jaehrige,5165,5046,5124,5381,5549,5027,4425,3802,3883,3182,2710,3242,3362,3559,3615,3728,3590,3519,3566,3644,3676,3501,3644,3725,3648,3724,3744,3715,3662,3489,3463,3467
55-Jaehrige,5787,5359,5360,5350,5775,5730,5247,4661,4094,4012,3383,2878,3506,3564,3730,3944,3819,3841,3642,3843,3801,3815,3778,3888,3775,4054,4013,3927,4095,3881,4009,4089
56-Jaehrige,5235,6026,5823,5760,5753,6113,6252,5439,4877,4244,4262,3461,3028,3625,3603,4113,4077,4062,4065,3953,4133,3933,3991,4071,4037,4282,4319,4329,4356,4265,4488,4559
57-Jaehrige,5223,5636,6337,6337,6204,6239,6470,6437,5741,5189,4528,4701,3740,3213,3848,3910,4076,4142,4242,4389,4313,4292,4367,4445,4363,4500,4551,4534,4873,4651,4692,5009
58-Jaehrige,5801,5600,6023,6835,6606,6501,6422,6703,6595,5906,5613,4780,4886,4156,3305,4134,4239,4484,4693,4638,4683,4692,4510,4784,4650,4855,4969,4886,5037,4802,5195,5491
59-Jaehrige,6801,6271,6014,6389,7119,7091,7004,6737,7090,6970,6477,5861,5159,5210,4269,3491,4384,4420,4760,5107,4935,4977,4923,4937,4912,5243,5176,5126,5355,5418,5512,5955
60-Jaehrige,7534,7334,6624,6385,6709,7638,7451,7188,7006,7303,7572,6923,6117,5318,5401,4440,3769,4592,4847,5174,5408,5315,5234,5352,5137,5468,5452,5396,5719,5547,5871,6429
61-Jaehrige,8030,7908,7538,6971,6404,7046,8284,7765,7515,7359,7838,7939,7143,6527,5518,5590,4712,3951,4958,5079,5436,5724,5627,5647,5652,5697,5676,5924,5992,5860,6343,6883
62-Jaehrige,7886,8501,8309,8096,7397,6980,7346,8325,8137,7819,7819,8020,8455,7713,6834,6027,5858,5024,4272,5208,5276,5626,5971,5943,6091,6144,6093,6160,6440,6345,6596,7223
63-Jaehrige,7794,8550,8794,8865,8470,7726,7502,7669,8585,8422,8319,8161,8612,8708,7901,7128,6221,6303,5364,4330,5595,5378,6036,6379,6248,6662,6479,6425,6729,6801,7029,7407
64-Jaehrige,7856,8249,8959,9487,9374,8949,8059,7536,7935,8835,8476,8595,8478,9067,8973,8297,7273,6561,6526,5647,4726,5765,6007,6526,6777,7014,7038,6839,7098,7099,7336,7985
65-Jaehrige,7995,8276,8428,9290,9898,9775,9406,8402,7851,8207,9477,8900,9116,9149,9400,9687,8678,7928,6838,6946,5883,4931,6165,6360,6812,7405,7468,7373,7393,7341,7811,8333
66-Jaehrige,7964,8417,8494,9276,9805,10260,10096,9327,8508,7990,8727,9586,9352,9669,9433,9677,9895,9273,8276,7123,7503,6210,5124,6574,6656,7384,7767,7698,8005,7909,8025,8871
