,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
45-49,4.5624078331457065,4.61061163902884,4.321768857008039,4.3554809052401495,4.465356015459719,4.449130597714476,4.445910712363806,4.4487340000516005,4.272359347517158,4.183793774668129,4.23097622651726,4.2306786906236455,4.3549643873820205,4.557318884369012,4.482137456995394,4.374867163163352,4.332439290991002,4.359476366857889,4.381591001309311,4.470042015177601,4.490082008210939,4.393830350569326,4.59737566910508,4.410715019984965,4.283845224983271,4.202002241279353,4.024209212708607,3.885950941616481,3.752635245539958,3.735214946552551,3.625824857733413,3.5796695924242035,3.604362869439206,3.537436909808396,3.616935294813717,3.64273006508276,3.489327024499887,3.4815944920392754,3.3648147933198946,3.2546779325858926,3.2455750626477435,3.182253214285582,3.0940044116803285,3.0400460273666754,3.023626885251103,2.9811587394559673,2.98923846448998,2.9258291338249025,2.785719677487743,2.7145473626956576,2.6024235039370014,2.531876445533006,2.4561204485936394,2.394572205713439,2.286744354073536,2.199455741959509,2.1226215974000655,2.0968549770461853,2.0043150202744853,2.023794310718134,1.9943204820658798,1.923006720128447,1.9219814551380683,1.8724354420637268,1.8786701265690269,2.003986154718236,1.888399683898314,1.8644400689787815
50-54,7.42861868219065,7.594453596154224,7.225640371474045,7.1282994206976,7.125649505950941,6.965403502214469,6.971599762470534,6.920382704969898,6.744651791266038,6.930045012708725,6.886024693367251,6.834287600262645,7.083787204253076,7.100722409525267,6.772787627899711,6.647460571877414,6.71861085307994,6.607765267876626,6.770579639551875,6.809051622268757,6.571682665135758,6.4162924238204635,6.427666243364103,6.472520560374527,6.5579137744483145,6.570665661526734,6.575330130969313,6.555841419756834,6.188411905534528,6.148200256998589,5.941398832163404,5.77453454516107,5.698597030629334,5.592335374751684,5.563575513873973,5.539050329195445,5.330426029185807,5.382363592467407,5.302629409803641,5.213345044155673,5.173305672903412,4.98382524944752,4.717985642374698,4.617552940814603,4.5204193205923096,4.464003194395544,4.511247441439282,4.482154058907099,4.318125376802072,4.322656643198871,4.2224235769793514,4.141202064597243,4.076239043264914,4.030669033405887,3.9817593646885396,3.851946367351104,3.7055147658090806,3.6877858079346497,3.533771404899165,3.502517239822514,3.3717535079363508,3.2764339338887805,3.2697520940760243,3.1497181726604464,3.1463252257622942,3.3268467216652042,3.2552577539115832,3.13055491962789
55-59,11.953193941995472,12.446712101290224,11.849774708439037,11.845398479132987,11.926027083541452,11.584423753349398,11.682090096233889,11.61949727786747,11.278568096118416,11.32802879917478,11.116089388488996,10.975177543417741,11.08651494685842,11.213886020047944,11.055498106451013,10.816036898650344,10.81903544532279,10.776359081437018,10.259620247117756,10.205400997188343,9.878384986108898,9.586088031600012,9.75271104134286,9.944526053428833,9.737665938584133,9.569719635523656,9.423352645520977,9.36538489330178,9.329013313836407,9.419412870320283,9.403781029734839,9.42195267931879,9.26187342434386,9.142487619152321,9.135559516102868,8.771798134171041,8.502442360810468,8.324647821315086,8.08778166637272,7.8639982855091395,7.6011665223761335,7.370437723542319,7.219474943503821,7.048115857637559,7.014968804546221,6.968406615106387,6.849063396272521,6.766763268449542,6.430367161816673,6.396216524285331,6.264406582848259,6.2241056210917804,6.1669205130741185,6.223354446208698,6.13652915899096,6.105932229938638,5.9316574628515655,6.015661002111976,5.767667140635268,5.87419487294689,5.7617019832801395,5.554760127870983,5.601046946490579,5.327701922030809,5.370222277309296,5.591872902718332,5.40028945131203,5.151547570148085
60-64,18.604521610365243,19.48153813744884,18.589260761305063,18.59737626058569,19.336785978402077,18.799618120130543,19.001554363720217,19.336965337829007,18.95023626439433,19.248687949768787,18.979102317431952,18.547336591605006,19.0732044429728,19.401017179716387,18.599483848046564,17.854206868189742,17.450499592614204,17.10793921704836,16.591463525076065,16.872177168094098,16.354575806185192,15.929699309782295,16.188855143565952,15.425788017979707,14.943062712167775,14.673071804075608,14.492632851449263,14.544090618497158,14.560518251930922,14.216759568469765,13.963082430465935,13.677916176367185,13.526695255953749,13.621827012329296,14.016301560562376,14.114818660863225,13.778001252399548,13.802807990223704,13.301092802232729,12.899935951462556,12.440310236793247,11.831313269325994,11.357956281097172,10.932225844408006,10.586241778889397,10.255006573252178,10.120136802723417,10.028242021443532,9.714934212324764,9.727649153842076,9.55008234002065,9.432770345824164,9.473190335373154,9.210644389950192,9.152421660453117,9.102100142695008,9.017331796447392,9.117225338791355,8.94018040644097,9.2213704482726,9.027381442660234,8.955841061473075,9.133385670767087,8.788244865492256,8.858432646876988,9.27533807465241,9.136742851286257,8.758006276743155
65-69,30.8301686787743,32.07284746539255,29.812840114206665,30.012137610155133,30.95742727012404,29.783909338338525,30.065797006984877,30.48968129091028,29.556135008308118,30.808626876873053,30.604285863597198,30.62113640803312,31.952438741292813,33.056091353218974,31.974869364071274,30.55072026219659,30.069553081058896,29.309283874243384,28.783205370996907,28.897325293278428,27.724358572219987,26.104159762822345,25.959524141290355,25.36208150547204,25.10708820640128,24.751141491621624,24.614555566021924,24.23635937778314,22.790009130957916,22.16380346379936,21.64569594659999,21.097948790339437,21.179575941978925,21.442512434056283,21.194709425488828,20.64814761398542,19.864996839816797,20.073556452664466,19.92352811194992,20.057429091822794,19.89954172646326,19.346984283325124,18.798535036634238,18.128641172654532,17.381396533437506,16.503435935731705,16.14753554488605,15.861266231694746,14.943373377987088,14.527987721419795,13.931375201772509,13.868798898205654,13.759038761375184,13.863573308901334,13.792265713362506,13.689953520522709,13.474843328260208,13.773448795471866,13.05116927730301,13.547630844455837,13.528831802322498,13.511825162677843,13.753008863422528,13.538731946790039,13.80004668292764,14.594048303867543,14.619897009616285,14.092040696757769
70-74,52.84226927148442,54.262238510629935,50.8026746890893,50.535648718114864,51.871962117896054,48.61267750937001,49.87619579577782,50.096543348215725,47.8578959363911,49.646612007326205,48.947787418480665,48.428750788479675,51.61781878603387,52.65743673150519,51.71186762266103,50.014115035144044,49.69625370764791,49.22680373567242,48.29965790887438,49.31576047822327,47.45523610785685,45.101134958824815,45.136160122867444,43.573047125169005,42.89491956509462,42.13598248998071,40.8095584593943,39.82398854919151,38.105482582011106,38.22611073073334,38.14748761392764,36.66532599612295,36.171256934145,34.41257689727555,33.47944061782509,32.294195018102435,31.16876795925633,32.02402300541964,31.742934616153267,30.945014347612187,30.13971047981927,29.062906961421987,28.535049305702383,28.096000988886757,27.6001873563691,27.023282525480276,27.068710962229353,26.94970183012262,25.007318854853093,24.201907045885726,23.1968506568442,22.328055921351908,21.897108929090553,21.49211677473532,21.012167667574555,20.23786155909928,20.194973450480624,20.562673623880908,19.97447885154832,20.92508021622281,20.648414693824378,20.759170061663376,20.937396526596466,20.283151588352766,20.48721186269492,21.871273658811962,22.08981481982906,21.512829722587718
75-79,91.12105564370567,91.69978972845217,87.04428511121165,86.26281180638524,89.34358074484048,83.48836559680439,84.92067663018692,85.08402061764565,79.95517250599143,82.83510980498255,81.47112124740663,80.35015131236099,85.30750216468333,85.15809310428305,83.34129294556871,81.28974443806212,80.59746330163836,79.78449242788513,78.45451409209058,81.3104905443624,77.54301151141476,73.68114628129254,75.21793030969926,73.28735064422904,72.9249585735207,72.3995119323068,70.40061455558931,69.17848141702058,65.9552931852297,65.80776435840735,64.13051263308186,61.09944372934685,59.33967081612252,58.13138098325295,58.47267549853844,57.20838612056538,55.30776400688262,55.48244758394904,51.86031315368083,50.15416413451499,48.36184766292506,46.89144890262916,46.748175647305544,46.67568563871859,44.484458956327764,43.14179781337354,42.730177553310575,42.95288885300017,40.91110716745585,40.86465553375613,39.89636980672844,39.47028618156411,39.23321435336969,38.33305257070244,37.363377973327054,35.49078190430051,34.518948486852054,34.499631551136474,32.71766070374289,33.410172074381045,32.10940082117971,32.44093387389906,32.99263372769904,32.40858038289659,33.467440798728916,34.820823458593445,35.69063440748782,34.325893377252825
80-84,147.55369008195666,145.41236910737453,141.03065604926502,141.2873986224934,147.1685876206221,138.11391201230467,142.3659404832513,141.6009512723724,130.83925513025093,136.84901858994715,134.82405226603436,132.65647192159872,142.745564594711,138.35974085176335,136.0366087171203,135.38098489545092,132.12127258104024,131.16093526265948,128.35615779088482,132.4844156714424,126.22772624346126,119.56304171463071,122.08866461290343,118.79122429811531,118.30318092098553,117.98391106142616,115.97666100795254,115.09143709387264,110.19281437350486,111.54130696794802,109.48099587102904,104.12603586745546,101.72634559327938,100.34130404827116,100.18812046159387,97.31098311834161,92.03648064795465,91.72999797898036,88.84697697793789,88.42368970950855,88.2411243240416,86.51716920463508,85.0002617930601,80.79206269672828,75.82340027210674,72.5280070491941,73.3961178653856,75.16805939224764,72.2569125028964,71.5894306526922,69.53919763512323,68.11175696731637,68.21869092863182,68.77205223696289,67.37005277792059,65.25430884446114,66.04581016489196,66.51252214780281,61.71206637259861,63.462390284914505,59.55648967574872,59.26392941590558,58.92373343720445,56.640834133283384,57.74836129519163,58.954873658214005,60.943612209053384,58.79364030778615
85-89,232.92725453189112,230.8855469716548,222.75355351437358,218.4869315160229,229.790740133153,214.87966491571396,225.13943152722436,225.2046295488806,205.6865684288266,216.14704312322363,212.65281276948312,207.94220655885292,228.31748211728006,218.5315384225858,213.86695117032488,213.5652226791429,207.8860161106291,208.16032418703537,205.03479120655717,210.36920019825865,205.35065239978496,191.77541373680899,193.7353223026968,188.74620104307164,188.51908896345427,188.56408023941407,182.76415158554656,180.39358782746916,174.23502850518642,178.28902687493937,176.12994084518866,168.19342717592536,164.89169571771927,166.47926897370337,167.58034550313383,163.16671424559547,154.38947622197335,155.36790388003573,151.98446848618966,149.27881193756028,148.26195184117137,142.03315085587482,140.53046993412548,137.96372873875828,136.81783985438724,134.98893845251536,138.9086503735193,141.34029999271564,125.51668956326003,124.25811550892291,119.2515110489373,119.17563686626703,122.97560656619807,126.67738711476287,122.73224398911916,118.47829415274865,118.65012323410247,120.58118428836701,113.64284712888441,119.84360085675031,114.59116571629473,116.4543725535745,117.05150809693458,110.97716482204014,113.44712406746562,112.83936109188359,116.16989952383152,109.18208357189523
90-94,335.5318375245065,334.1936764778875,323.9617658744069,321.8557057121886,352.0973211777965,317.35723590830435,335.4026999724493,332.4885184555196,299.89912118544044,323.8277919863597,313.9141162265736,310.4978843269477,342.76013002786726,328.80645308298773,319.70284953986027,318.37126938193757,314.1984467432562,313.53710001229155,306.3496453760594,314.9457713054915,310.0443252791699,290.19261353596045,297.91636874469,286.78605028907776,284.66672062710927,290.4833339431415,278.3988611146003,278.31489880905013,263.0730873634494,271.33915918752956,267.77386344573057,255.5257254238535,250.2601993109001,256.33254951238325,263.5817365809058,253.63712253043218,245.3802903359711,250.61023434464863,244.38280359278104,243.05141769843334,242.58539422069714,234.34546872046872,232.632695031711,230.28715816071383,224.34942226437133,221.82070182674462,225.38118598370315,229.1176149564187,214.03557456326755,221.80851993637143,217.98164964813188,221.1349210740568,225.90347328254552,213.5876283612597,209.10399045379566,200.44747094955966,205.53524596030513,212.08281529523137,204.22815767910606,215.85155048105494,202.08811383515334,208.73581157080378,210.0208316424533,201.80748362179375,210.48125910606268,213.2753770956591,229.2015970471515,215.02683417884967
